ase@lionstate.edu,owq94wfe,Dr Adan Senior,57,F,"110, Building 14",Statistics,Head,0
cja@lionstate.edu,rlj07keq,Dr Cavan Jacobs,56,M,"156, Building 14",Statistics,Professor,0
cpe@lionstate.edu,x26uaxzr,Dr Carlyle Peters,42,M,"227, Building 14",Statistics,Professor,0
rfu@lionstate.edu,gusbe091,Dr Roy Fuller,41,M,"104, Building 14",Statistics,Professor,0
lga@lionstate.edu,zrcwnnrz,Dr Lexis Gardner,46,F,"206, Building 15",Economics,Head,0
wmi@lionstate.edu,9ozcn0sr,Dr Welborn Mitchell,55,M,"236, Building 15",Economics,Professor,0
kbo@lionstate.edu,cqw7hrg3,Dr Kourtney Booth,51,M,"224, Building 15",Economics,Professor,0
ffo@lionstate.edu,9uhmclic,Dr Finch Foster,50,F,"217, Building 3",Chemistry,Head,0
rpa@lionstate.edu,cukoqrzk,Dr Royal Parsons,44,M,"257, Building 3",Chemistry,Professor,0
kni@lionstate.edu,sekbfhqm,Dr Konnor Nicholson,55,M,"170, Building 3",Chemistry,Professor,0
rsu@lionstate.edu,qui392mr,Dr Rudd Sullivan,53,M,"195, Building 10",Information Science and Technology,Head,0
rsi@lionstate.edu,ogmh36q7,Dr Radcliff Silva,56,M,"274, Building 10",Information Science and Technology,Professor,0
mha@lionstate.edu,2xzermda,Dr Mina Harding,57,F,"184, Building 10",Information Science and Technology,Professor,0
jwo@lionstate.edu,x2boxvpo,Dr Jair Woods,58,M,"213, Building 6",Data Science,Head,0
rre@lionstate.edu,m56icvld,Dr Ralf Reed,56,M,"270, Building 6",Data Science,Professor,0
mam@lionstate.edu,jlt1x825,Dr Marni Amor,56,M,"216, Building 6",Data Science,Professor,0
